,url_length,content_length,mal,charsets,server,special_chars
803,78,-1,0,-1,-1,11
804,9,-1,0,-1,-1,2
805,38,-1,0,-1,-1,5
806,56,-1,0,-1,-1,6
807,120,-1,0,-1,-1,19
808,28,-1,0,-1,-1,3
809,134,200000,1,[None],Apache,19
810,104,-1,0,-1,-1,23
811,69,-1,1,-1,-1,13
812,27,-1,0,-1,-1,6
813,289,,0,['utf-8'],tsa_b,82
814,32,-1,0,-1,-1,3
815,89,64206,0,['utf-8'],MerlinCDN,16
816,81,-1,0,-1,-1,6
817,108,125234,0,['utf-8'],,16
818,65,-1,0,-1,-1,6
819,88,-1,1,-1,-1,11
820,33,-1,0,-1,-1,5
821,44,-1,1,-1,-1,7
822,31,-1,0,-1,-1,4
823,27,-1,0,-1,-1,5
824,37,-1,0,-1,-1,7
825,107,1337,0,-1,-1,25
826,33,-1,0,-1,-1,6
827,72,-1,0,-1,-1,12
828,22,-1,0,-1,-1,4
829,39,-1,1,-1,-1,8
