,url_length,mal,special_chars
1287,16,0,2
1288,40,0,7
1289,16,0,2
1290,33,0,7
1291,88,0,15
1292,45,0,5
1293,93,1,14
1294,133,0,43
1295,97,1,18
1296,32,0,5
1297,89,1,18
1298,33,1,8
1299,82,0,13
1300,26,0,4
1301,92,1,11
1302,79,1,16
1303,32,0,5
1304,64,0,8
1305,22,0,4
1306,129,1,27
1307,88,0,20
1308,59,1,12
1309,15,0,2
1310,40,1,4
1311,104,1,17
1312,65,1,10
1313,56,0,8
1314,62,0,9
1315,18,0,2
1316,18,0,3
1317,31,0,4
1318,47,0,8
1319,43,0,6
1320,129,1,30
1321,15,0,2
1322,77,1,15
1323,62,0,9
1324,52,0,8
1325,54,1,10
1326,89,1,16
1327,48,0,4
1328,43,0,6
1329,85,0,11
1330,53,0,7
1331,51,0,6
1332,31,0,4
1333,15,1,1
1334,112,0,17
1335,52,0,5
1336,39,0,5
1337,45,1,11
1338,42,0,5
1339,36,0,5
1340,20,0,2
1341,38,0,7
1342,176,1,31
1343,47,0,6
1344,61,0,8
1345,42,1,11
1346,32,0,5
1347,31,0,5
1348,25,0,4
1349,29,0,4
1350,76,1,16
1351,150,1,25
1352,40,0,5
1353,33,0,4
1354,32,0,3
1355,41,0,5
1356,35,0,6
1357,58,0,6
1358,25,0,3
1359,52,0,7
1360,44,0,6
1361,82,1,17
1362,78,1,14
1363,97,1,18
1364,95,0,18
1365,48,1,10
1366,43,0,4
1367,80,0,10
1368,27,0,2
1369,33,1,4
1370,38,0,7
1371,17,0,2
1372,30,0,3
1373,73,0,10
1374,63,1,14
1375,16,0,2
1376,66,0,10
1377,34,0,3
1378,101,1,17
1379,59,1,11
1380,94,0,15
1381,50,0,9
1382,38,0,6
1383,55,0,8
1384,240,0,39
1385,66,0,10
1386,84,0,13
1387,72,0,12
1388,134,0,18
1389,67,0,9
1390,22,0,3
1391,48,0,7
1392,40,1,7
1393,61,1,9
1394,41,0,5
1395,15,0,2
1396,77,0,9
1397,85,0,16
1398,22,0,3
1399,87,1,19
1400,163,1,33
1401,84,1,12
1402,39,0,3
1403,28,0,6
1404,87,1,18
1405,53,0,7
1406,50,0,6
1407,26,0,3
1408,102,1,20
1409,51,0,7
1410,169,0,26
1411,30,0,4
1412,25,0,3
1413,22,0,2
1414,69,1,11
1415,29,0,3
1416,116,0,22
1417,18,1,1
1418,185,1,17
1419,52,0,7
1420,307,0,33
1421,88,1,16
1422,77,0,14
1423,200,0,24
1424,19,0,3
1425,85,0,11
1426,71,0,13
1427,31,0,4
1428,50,0,7
1429,11,1,1
1430,21,0,4
1431,36,0,5
1432,95,1,15
1433,33,1,7
1434,219,1,17
1435,96,0,17
1436,29,0,3
1437,92,0,17
1438,19,0,3
1439,83,1,16
1440,84,1,17
1441,124,0,16
1442,59,0,9
1443,46,1,10
1444,98,0,17
1445,74,1,12
1446,20,0,2
1447,56,0,8
1448,37,0,4
1449,35,0,5
1450,113,0,21
1451,37,0,4
1452,54,0,8
1453,127,1,25
1454,72,0,9
1455,127,1,18
1456,97,0,20
1457,114,0,21
1458,48,0,8
1459,61,0,8
1460,30,0,4
1461,22,0,2
1462,79,0,13
1463,69,0,11
1464,20,0,2
1465,24,0,3
1466,36,0,4
1467,61,1,12
1468,59,0,5
1469,66,0,8
1470,64,0,7
1471,50,1,10
1472,19,0,3
1473,74,1,15
1474,31,0,4
1475,124,1,22
1476,100,1,19
1477,12,0,2
1478,45,0,7
1479,35,0,5
1480,27,0,3
1481,50,0,6
1482,64,0,11
1483,20,0,2
1484,29,0,4
1485,84,0,15
1486,130,0,27
